h  k  l  I  sigma(I)  peak  background  fs/px  ss/px  panel
4 -28 53 -2.65 78.82 96.0 63.12 1240.9 1178.7 q3a12 
4 -26 47 89.01 122.36 144.0 75.37 1276.4 1262.2 q3a12 
4 -24 42 173.36 157.69 189.0 111.01 1304.1 1304.0 q3a14 
4 -20 33 313.19 453.17 442.0 164.14 1350.3 1426.4 q3a14 
4 -16 26 -395.76 723.78 617.0 244.34 1518.5 196.9 q3a3 
4 -4 9 85.64 105.24 112.0 68.42 1268.7 270.4 q3a2 
4 6 -1 -505.73 201.14 183.0 76.93 909.9 308.6 q2a2 
4 8 -3 -299.81 145.52 145.0 75.51 901.9 272.9 q2a2 
4 12 -6 79.57 132.72 131.0 75.83 890.1 205.9 q2a2 
4 20 -11 425.02 200.12 379.0 151.78 869.1 101.8 q2a0 
4 22 -12 2797.25 406.47 1770.0 183.75 864.8 68.7 q2a0 
4 24 -13 1543.33 283.74 886.0 194.07 860.5 35.2 q2a0 
4 38 -18 -263.35 230.52 237.0 97.15 985.0 677.9 q2a7 
4 44 -19 -143.52 98.65 176.0 71.72 876.1 683.2 q2a6 
5 -27 53 -47.27 107.25 114.0 66.47 1209.5 1199.6 q3a12 
5 -25 47 -83.09 118.06 159.0 72.43 1245.9 1282.6 q3a12 
5 -23 42 -105.15 148.4 182.0 111.35 1274.2 1324.0 q3a14 
5 -21 37 -0.46 311.85 371.0 140.62 1301.1 1390.4 q3a14 
5 -19 33 -393.41 370.65 396.0 169.23 1321.4 1445.8 q3a14 
5 -7 14 544.11 193.17 372.0 74.49 1328.2 222.0 q3a2 
5 -3 9 221.46 114.61 152.0 67.34 1250.3 243.0 q3a2 
5 -1 7 3242.75 229.21 1461.0 68.66 1214.5 251.0 q3a2 
5 3 3 -103.71 195.53 190.0 65.97 953.4 361.6 q2a2 
5 5 1 28910.3 586.72 7965.0 72.3 945.4 325.9 q2a2 
5 11 -4 387.18 175.46 233.0 75.42 925.7 223.2 q2a2 
5 17 -8 956.9 202.14 649.0 140.9 909.5 151.7 q2a0 
5 29 -14 451.24 352.56 369.0 141.36 1143.0 631.3 q2a7 
5 35 -16 -119.02 133.22 181.0 101.22 1038.4 639.3 q2a7 
5 45 -18 244.1 84.8 99.0 65.1 855.9 647.5 q2a6 
6 -22 42 -193.55 172.28 177.0 104.95 1244.2 1344.0 q3a14 
6 -20 37 141.84 321.63 380.0 140.04 1271.8 1410.0 q3a14 
6 -18 33 49.71 403.12 416.0 167.68 1292.5 1465.2 q3a14 
6 -14 26 2328.13 581.36 933.0 234.49 1479.9 167.5 q3a1 
6 10 -2 -203.79 236.85 232.0 75.59 961.4 240.6 q2a2 
6 16 -6 377.29 196.63 244.0 121.91 945.7 169.0 q2a0 
6 32 -14 -393.62 286.71 377.0 126.62 1090.6 601.7 q2a7 
6 36 -15 -203.59 136.25 146.0 97.79 1020.3 604.9 q2a7 
6 40 -16 65.09 177.78 151.0 79.71 950.2 608.3 q2a6 
6 46 -17 135.06 97.56 129.0 62.94 835.4 611.2 q2a6 
6 48 -17 39.6 116.37 121.0 66.6 795.6 610.6 q2a6 
7 -27 59 -71.06 105.99 96.0 54.06 1229.1 767.5 q3a8 
7 -21 42 404.79 161.83 182.0 101.41 1214.3 1364.0 q3a14 
7 -13 26 -757.35 587.83 529.0 233.15 1460.8 139.2 q3a1 
7 -11 23 1523.31 372.31 780.0 176.69 1416.7 153.5 q3a1 
7 -9 20 2032.4 245.44 960.0 141.4 1373.1 167.5 q3a1 
7 5 4 96.8 125.65 150.0 88.88 1010.4 329.8 q2a3 
7 7 2 575.49 146.29 490.0 86.11 1002.2 293.9 q2a3 
7 23 -9 -53.59 771.73 575.0 254.36 962.6 51.0 q2a0 
7 33 -13 -147.07 151.28 185.0 106.67 1073.0 567.4 q2a7 
7 37 -14 4.69 149.0 192.0 97.31 1001.9 570.1 q2a7 
7 41 -15 126.18 123.4 128.0 72.42 931.0 572.8 q2a6 
8 -26 59 192.14 115.88 110.0 53.26 1250.5 800.0 q3a8 
8 -20 42 -325.09 181.12 186.0 117.25 1184.3 1384.0 q3a14 
8 -14 30 685.17 459.33 594.0 203.83 1493.9 90.1 q3a1 
8 -4 15 -94.43 151.74 191.0 134.52 1278.1 162.1 q3a0 
8 10 1 1562.23 194.18 788.0 98.97 1026.9 243.9 q2a3 
8 22 -7 272.17 515.52 583.0 227.43 996.5 68.5 q2a1 
8 24 -8 -586.5 504.18 530.0 217.5 993.0 34.8 q2a1 
9 -25 59 -66.09 127.44 174.0 61.29 1271.9 832.4 q3a8 
9 -21 47 55.91 133.48 130.0 69.86 1435.6 751.6 q3a9 
9 -17 38 86.8 213.58 220.0 124.13 1177.0 1460.4 q3a14 
9 -15 34 -94.86 211.8 351.0 166.26 1527.9 39.8 q3a1 
9 -11 27 479.62 280.95 472.0 194.38 1429.7 76.4 q3a1 
9 -9 24 2448.81 613.78 1111.0 229.19 1385.5 91.2 q3a1 
9 -7 21 3478.1 507.82 1664.0 187.1 1344.9 105.7 q3a0 
9 -3 16 857.17 179.13 302.0 143.3 1265.3 128.6 q3a0 
9 1 11 249.79 142.48 292.0 127.41 1186.8 151.1 q3a0 
9 5 7 379.64 201.79 204.0 105.76 1079.2 333.8 q2a3 
9 11 2 1169.3 211.9 938.0 102.3 1060.0 229.7 q2a3 
9 21 -5 629.31 379.32 495.0 209.69 1033.4 86.1 q2a1 
9 23 -6 1626.88 297.41 779.0 190.12 1030.2 52.4 q2a1 
9 25 -7 986.73 262.76 468.0 167.47 1026.8 18.4 q2a1 
9 45 -13 -229.74 101.38 96.0 65.14 852.6 524.7 q2a4 
9 47 -13 -116.36 166.31 229.0 64.76 813.0 522.2 q2a4 
10 -24 60 107.53 124.15 129.0 59.27 1281.9 873.6 q3a8 
10 -22 53 -179.36 158.72 157.0 66.76 1375.4 822.5 q3a9 
10 -20 48 81.71 115.22 112.0 66.09 1446.3 789.9 q3a9 
10 -18 43 -203.77 176.35 176.0 76.97 1514.2 758.6 q3a9 
10 -12 31 5.88 270.7 359.0 171.12 1462.6 26.1 q3a1 
10 -4 19 3007.91 478.51 1517.0 196.29 1289.1 86.1 q3a0 
10 0 14 41.35 213.06 342.0 147.85 1209.9 109.1 q3a0 
10 2 12 591.41 270.17 471.0 146.79 1173.5 117.5 q3a0 
10 4 10 839.79 402.48 516.0 139.47 1121.0 356.6 q2a3 
10 6 8 1370.39 390.21 406.0 132.01 1112.8 320.2 q2a3 
10 8 6 1423.95 372.45 417.0 139.45 1104.5 283.7 q2a3 
10 16 0 -746.55 604.84 538.0 234.34 1082.0 173.6 q2a1 
10 22 -4 86.52 374.76 419.0 197.28 1067.4 70.1 q2a1 
10 24 -5 -220.95 232.19 280.0 173.55 1064.3 36.2 q2a1 
10 34 -9 319.84 136.12 282.0 88.96 1055.7 486.8 q2a5 
10 38 -10 283.01 148.25 158.0 82.39 983.2 486.8 q2a5 
10 42 -11 43.88 129.15 169.0 69.12 910.8 486.9 q2a4 
11 -25 68 -23.46 78.47 76.0 45.66 1188.3 945.2 q3a10 
11 -21 54 299.04 120.93 142.0 63.16 1386.0 862.3 q3a9 
11 -17 44 404.71 201.76 238.0 73.56 1525.3 796.4 q3a9 
11 -3 20 687.0 655.15 609.0 228.12 1276.2 51.7 q3a0 
11 1 15 1068.3 358.12 594.0 178.3 1196.6 75.0 q3a0 
11 5 11 1298.34 580.34 491.0 214.61 1155.0 343.1 q2a3 
11 7 9 1241.2 560.73 459.0 183.12 1146.7 306.4 q2a3 
11 9 7 4639.75 758.79 1452.0 215.25 1138.4 269.7 q2a3 
11 17 1 228.08 679.67 517.0 255.32 1116.1 158.3 q2a1 
11 33 -7 240.66 129.46 283.0 94.54 1074.5 448.1 q2a5 
11 45 -10 -180.86 103.0 93.0 63.26 852.1 445.8 q2a4 
11 47 -10 -100.76 129.41 120.0 67.36 812.1 442.2 q2a4 
12 -24 69 -62.66 87.71 89.0 46.46 1198.2 989.6 q3a10 
12 -24 70 -37.69 86.55 95.0 45.69 1185.4 1000.0 q3a10 
12 -20 55 36.12 108.87 111.0 65.88 1396.6 902.8 q3a9 
12 -14 40 26.42 145.41 146.0 94.97 1496.8 389.8 q3a5 
12 -10 33 433.89 514.9 424.0 145.51 1535.8 491.3 q3a5 
12 -2 21 -412.89 370.49 486.0 201.49 1263.2 16.8 q3a0 
12 2 16 3477.23 433.96 1643.0 211.97 1183.1 40.5 q3a0 
12 6 12 521.7 797.62 567.0 284.19 1124.6 1466.5 q2a15 
12 18 2 2133.02 479.93 921.0 204.78 1150.6 142.8 q2a1 
12 32 -5 6.01 151.1 199.0 95.39 1093.4 409.3 q2a5 
12 38 -7 -195.6 142.61 178.0 81.4 983.7 410.3 q2a5 
12 44 -8 96.59 97.89 104.0 60.21 872.0 404.7 q2a4 
13 -23 71 53.31 100.83 82.0 45.69 1195.4 1045.5 q3a10 
13 -21 63 -88.97 136.79 132.0 54.77 1313.3 973.4 q3a10 
13 -17 51 -38.56 105.5 114.0 64.56 1479.1 908.1 q3a9 
13 -9 34 -304.23 387.65 467.0 131.03 1498.9 503.3 q3a5 
13 5 15 1546.25 657.82 890.0 261.75 1147.8 1423.1 q2a15 
13 7 13 512.49 565.68 529.0 252.11 1110.7 1431.6 q2a15 
13 9 11 885.29 664.51 949.0 254.91 1073.5 1440.1 q2a15 
13 21 2 -406.87 312.14 340.0 155.67 864.7 1472.2 q2a14 
14 -20 64 109.65 139.08 136.0 53.15 1324.0 1017.1 q3a10 
14 -18 58 43.57 96.6 94.0 59.83 1408.4 967.7 q3a11 
14 -8 35 -55.81 219.57 300.0 109.81 1461.5 515.4 q3a5 
14 -2 26 -339.29 422.96 384.0 164.09 1510.5 623.4 q3a7 
14 0 23 647.92 433.05 396.0 167.55 1526.3 667.5 q3a7 
14 14 9 156.27 393.8 427.0 190.53 988.8 1415.2 q2a15 
14 18 6 -333.16 409.27 387.0 165.96 920.6 1425.8 q2a14 
14 34 -2 -293.61 207.29 177.0 73.01 1153.2 851.7 q2a9 
14 42 -4 -234.65 159.15 123.0 57.85 1147.6 975.3 q2a11 
14 48 -5 -118.71 170.97 216.0 50.91 1139.2 1096.9 q2a11 
15 -19 66 -69.76 113.2 95.0 49.36 1323.3 1072.2 q3a10 
15 -17 59 80.49 95.84 115.0 58.11 1419.6 1010.4 q3a11 
15 -11 44 59.7 119.83 242.0 85.19 1373.0 416.3 q3a5 
15 -9 40 -56.64 279.55 388.0 98.44 1398.6 472.7 q3a5 
15 -3 30 118.55 179.0 214.0 124.05 1457.4 591.6 q3a7 
15 -1 27 -569.14 380.26 383.0 151.08 1473.8 636.6 q3a7 
15 3 22 -1072.55 520.87 440.0 183.87 1498.6 718.9 q3a7 
15 11 14 184.81 205.53 377.0 165.19 1049.3 1362.0 q2a15 
15 13 12 365.09 257.81 627.0 173.71 1011.5 1370.7 q2a15 
15 17 9 310.56 297.28 327.0 152.44 942.9 1381.0 q2a14 
15 23 5 809.04 203.37 489.0 124.16 835.8 1393.3 q2a14 
15 25 4 -379.21 192.86 197.0 126.41 800.6 1395.1 q2a14 
15 29 2 -28.66 132.56 160.0 80.46 1110.0 758.9 q2a9 
15 31 1 -61.4 214.96 245.0 82.6 1111.7 795.5 q2a9 
15 37 -1 94.32 123.5 172.0 67.08 1109.7 906.3 q2a9 
15 41 -2 155.12 88.96 106.0 54.88 1106.3 955.5 q2a11 
15 47 -3 -182.61 102.84 98.0 56.01 1096.3 1076.4 q2a11 
16 -16 61 -2.64 81.32 88.0 56.24 1420.3 1064.2 q3a11 
16 -14 55 -167.36 156.74 167.0 64.76 1504.2 1013.7 q3a11 
16 -10 46 507.4 145.68 172.0 69.4 1327.1 419.7 q3a4 
16 -6 38 155.46 209.0 235.0 97.22 1376.8 532.5 q3a5 
16 2 26 47.06 246.68 344.0 129.94 1445.3 688.4 q3a7 
16 8 19 13.09 210.34 254.0 163.47 1110.7 1307.9 q2a15 
16 10 17 75.45 188.75 242.0 155.48 1072.6 1316.7 q2a15 
16 20 9 266.19 203.6 263.0 128.81 892.8 1345.9 q2a14 
16 22 8 110.41 156.43 167.0 117.79 857.9 1347.4 q2a14 
16 32 3 -262.89 132.78 192.0 76.49 1066.2 810.8 q2a9 
16 34 2 160.59 94.65 108.0 70.21 1067.7 848.5 q2a9 
16 42 0 76.79 85.51 87.0 55.41 1058.5 974.3 q2a11 
16 48 -1 59.43 73.45 84.0 53.17 1046.7 1097.8 q2a11 
17 -5 40 21.36 315.73 370.0 83.24 1331.7 537.6 q3a4 
17 -1 33 -29.45 189.77 244.0 115.13 1373.3 611.3 q3a7 
17 3 28 -260.0 222.98 275.0 123.0 1399.5 696.0 q3a7 
17 7 23 -521.69 526.41 423.0 131.69 1139.9 1281.3 q2a13 
17 35 4 109.09 102.96 155.0 71.71 1020.6 864.9 q2a9 
17 43 2 127.12 87.34 111.0 54.88 1009.3 993.8 q2a11 
18 -8 50 98.93 115.71 116.0 66.67 1225.2 427.0 q3a4 
18 -4 42 47.55 155.73 236.0 81.05 1282.3 542.7 q3a4 
18 -2 38 -115.51 163.7 191.0 87.09 1310.4 571.0 q3a6 
18 0 35 923.85 176.69 243.0 86.35 1328.5 618.0 q3a6 
18 2 32 -147.71 339.27 398.0 102.97 1346.4 664.4 q3a6 
18 8 25 206.6 457.59 460.0 110.6 1130.8 1234.9 q2a13 
18 14 19 2.02 124.67 149.0 92.78 1013.3 1262.2 q2a13 
18 20 14 -523.45 231.57 238.0 99.05 903.0 1281.3 q2a12 
18 22 13 200.57 116.24 157.0 83.83 867.4 1282.4 q2a12 
18 44 4 -120.24 162.91 145.0 51.64 961.6 1013.8 q2a10 
19 -7 52 -71.73 113.15 120.0 70.53 1172.0 430.7 q3a4 
19 -5 48 -152.9 141.43 139.0 74.1 1202.1 490.2 q3a4 
19 1 37 -23.09 127.91 178.0 86.72 1279.4 625.0 q3a6 
19 9 27 -530.45 314.36 378.0 99.05 1121.4 1187.3 q2a13 
19 15 21 -224.69 183.1 187.0 90.69 1002.3 1214.9 q2a13 
19 21 16 -156.52 135.7 198.0 84.72 890.4 1234.1 q2a12 
19 23 15 -229.24 136.9 160.0 82.64 854.2 1234.8 q2a12 
19 35 9 49.5 168.35 162.0 68.5 924.8 859.4 q2a8 
19 37 8 -149.4 130.1 114.0 64.6 925.3 899.2 q2a8 
19 41 7 -18.56 101.0 98.0 54.56 917.7 951.4 q2a10 
19 47 6 200.53 92.71 102.0 46.27 900.2 1077.0 q2a10 
20 0 43 -86.05 133.8 169.0 80.45 1199.4 576.5 q3a6 
20 6 34 -293.82 160.45 219.0 84.42 1257.3 720.3 q3a6 
20 10 29 -310.86 163.53 165.0 89.26 1111.8 1138.3 q2a13 
20 12 27 -73.06 120.04 124.0 82.06 1071.5 1147.7 q2a13 
20 14 25 88.49 141.29 134.0 82.11 1031.3 1157.0 q2a13 
20 16 23 42.82 156.47 198.0 88.58 991.0 1166.4 q2a13 
20 20 20 -283.81 151.68 158.0 82.51 917.9 1176.1 q2a12 
20 24 17 -32.06 118.03 135.0 79.06 840.7 1185.9 q2a12 
20 26 16 114.85 183.74 275.0 79.35 803.5 1186.3 q2a12 
20 34 12 -82.32 91.34 98.0 66.92 873.6 836.8 q2a8 
20 36 11 210.9 73.83 138.0 64.9 873.8 876.6 q2a8 
20 44 9 26.01 90.51 110.0 49.39 855.4 1012.3 q2a10 
20 46 9 -128.78 84.02 83.0 46.98 845.3 1054.9 q2a10 
21 5 39 189.84 157.95 240.0 86.96 1186.5 681.0 q3a6 
21 21 22 394.38 125.28 149.0 77.01 905.1 1126.0 q2a12 
21 27 18 178.2 109.7 125.0 73.2 788.9 1135.7 q2a12 
21 31 16 -151.14 108.66 103.0 64.74 821.8 774.3 q2a8 
21 33 15 49.54 118.69 120.0 67.66 821.6 813.7 q2a8 
21 43 12 -164.99 87.19 80.0 48.39 800.5 989.8 q2a10 
-22 24 -18 -39.88 70.64 63.0 32.88 34.2 537.8 q0a4 
-20 20 -14 17.08 78.42 71.0 37.55 145.7 564.2 q0a6 
-20 20 -13 41.03 68.97 60.0 34.18 146.1 576.4 q0a6 
-20 20 10 -78.41 69.91 60.0 34.58 1455.9 1167.4 q3a13 
-20 22 -28 -100.06 69.12 57.0 32.76 115.5 414.3 q0a4 
-20 22 24 -172.36 79.5 81.0 34.84 1282.2 1149.6 q3a12 
-20 26 -43 -123.56 68.07 51.0 26.85 252.0 1055.0 q0a11 
-19 19 -19 -147.62 135.68 116.0 37.97 183.7 531.2 q0a4 
-19 19 16 -181.15 96.09 82.0 37.55 1386.3 1210.3 q3a13 
-19 21 -31 114.71 76.21 74.0 33.37 156.1 378.4 q0a4 
-19 23 -39 -78.85 70.43 63.0 28.45 318.0 982.9 q0a11 
-19 27 47 -77.89 119.73 152.0 31.3 1199.4 916.7 q3a8 
-18 18 -23 196.57 84.15 85.0 39.76 219.3 483.8 q0a5 
-18 20 30 71.35 78.24 72.0 33.12 1216.1 1234.1 q3a12 
-17 15 -7 49.78 80.69 99.0 51.82 285.2 647.8 q0a7 
-17 15 -6 30.49 89.6 97.0 53.7 285.6 659.4 q0a7 
-17 15 -5 136.59 80.33 136.0 51.91 286.0 671.0 q0a7 
-17 17 -26 -14.36 78.2 77.0 42.03 257.8 448.9 q0a5 
-17 19 32 262.92 93.13 77.0 34.25 1195.8 1275.1 q3a12 
-17 27 55 -31.0 53.99 54.0 28.0 1265.8 1001.1 q3a10 
-17 29 59 -26.26 46.31 48.0 26.86 1241.3 1076.0 q3a10 
-16 14 -13 -90.6 106.48 104.0 56.34 320.8 577.9 q0a7 
-16 14 9 -29.16 99.42 102.0 71.94 1479.7 1316.5 q3a15 
-16 14 10 38.8 103.89 114.0 66.8 1468.2 1316.9 q3a15 
-16 16 25 12.64 93.29 98.0 54.07 1291.5 1303.7 q3a14 
-16 20 41 -143.28 95.53 106.0 36.72 1368.8 795.7 q3a9 
-16 26 -60 54.54 76.98 73.0 25.66 10.7 937.5 q0a10 
-15 13 13 67.03 104.67 100.0 65.22 1435.8 1355.2 q3a15 
-15 15 -30 92.25 84.4 147.0 46.75 333.9 403.8 q0a5 
-15 17 -39 -130.83 100.67 86.0 41.83 336.3 824.1 q0a9 
-15 19 -46 -31.81 72.98 77.0 37.51 239.5 847.0 q0a9 
-15 21 48 142.42 85.62 100.0 34.11 1391.0 891.5 q3a9 
-15 23 53 -3.77 72.84 79.0 32.61 1371.9 943.7 q3a11 
-14 12 15 408.67 131.3 225.0 72.54 1415.2 1392.7 q3a15 
-14 14 28 12.1 147.74 153.0 60.81 1262.9 1380.5 q3a14 
-14 16 -40 50.45 68.88 81.0 40.87 326.3 785.4 q0a9 
-14 18 -47 -106.74 92.8 85.0 40.97 229.8 807.2 q0a9 
-14 20 49 37.0 67.79 60.0 35.0 1431.9 898.7 q3a9 
-14 22 54 -146.46 76.34 68.0 32.66 1413.9 950.4 q3a11 
-13 11 -20 -18.11 123.36 152.0 87.27 239.5 11.5 q0a1 
-13 13 29 -153.04 104.53 92.0 64.23 1254.7 1418.0 q3a14 
-13 15 -41 -115.46 103.97 102.0 43.72 316.4 747.2 q0a9 
-13 17 44 42.91 74.01 79.0 36.1 1488.5 818.6 q3a9 
-12 10 -21 955.96 169.9 597.0 92.23 250.7 47.2 q0a1 
-12 18 -54 -93.49 103.39 90.0 40.68 138.4 749.0 q0a8 
-12 20 -59 -70.9 80.85 68.0 36.1 59.1 770.0 q0a8 
-11 9 18 419.02 367.35 421.0 107.73 1542.9 204.9 q3a3 
-11 13 -42 134.13 111.36 121.0 63.49 39.7 1373.2 q0a14 
-10 8 -21 -177.42 323.96 324.0 114.17 250.3 118.0 q0a1 
-10 8 18 -664.02 361.78 284.0 94.27 1507.9 207.1 q3a3 
-10 10 30 392.68 169.32 324.0 92.39 1516.4 93.7 q3a1 
-10 12 -42 61.88 110.35 114.0 62.96 76.8 1375.2 q0a14 
-9 7 -21 -116.17 148.07 167.0 96.92 250.2 152.8 q0a1 
-9 7 17 -99.94 126.89 125.0 58.53 1473.7 220.3 q3a3 
-9 11 -42 -135.74 183.44 244.0 72.97 113.5 1377.1 q0a14 
-9 15 51 -181.8 92.7 84.0 47.2 1402.1 414.8 q3a5 
-9 17 -60 17.65 91.15 74.0 40.15 60.5 1147.7 q0a12 
-8 6 16 240.64 106.95 117.0 47.27 1439.8 233.4 q3a3 
-8 8 29 1992.03 407.8 1375.0 111.18 1446.6 111.4 q3a1 
-8 12 45 -350.59 230.43 265.0 60.36 1491.1 464.0 q3a5 
-8 14 51 -47.74 80.58 93.0 46.97 1407.0 452.3 q3a5 
-8 16 -60 -46.8 78.35 74.0 42.2 99.8 1151.4 q0a12 
-8 20 65 16.4 75.26 76.0 38.4 1184.2 412.6 q3a4 
-7 5 -18 0.5 90.16 114.0 49.5 217.3 194.3 q0a3 
-7 5 14 1512.72 152.09 913.0 46.78 1406.7 257.1 q3a3 
-7 7 28 1095.57 171.12 647.0 97.25 1412.5 125.7 q3a1 
-7 9 -41 26.66 270.82 290.0 85.03 185.8 1392.4 q0a14 
-7 15 56 -411.53 181.44 143.0 44.73 1339.6 477.7 q3a4 
-7 19 65 -81.53 87.84 94.0 39.73 1190.9 452.5 q3a4 
-6 4 11 55.56 86.2 86.0 45.21 1374.2 291.4 q3a3 
-6 6 27 5457.67 295.51 2672.0 87.54 1378.8 139.7 q3a1 
-6 8 -40 914.62 197.53 568.0 88.03 218.4 1405.6 q0a15 
-6 10 44 436.88 217.18 217.0 63.64 1510.8 535.5 q3a5 
-5 3 -11 697.11 123.62 481.0 41.14 144.3 263.0 q0a2 
-5 3 -10 632.81 127.3 339.0 40.35 133.5 263.3 q0a2 
-5 3 7 13252.44 392.68 8160.0 29.56 1345.4 336.1 q3a2 
-5 5 -29 7551.55 356.72 3659.0 77.7 342.0 247.8 q0a3 
-5 7 -39 625.44 186.71 581.0 91.34 253.6 1418.6 q0a15 
-5 15 60 -305.81 137.96 119.0 44.81 1284.8 541.5 q3a4 
-4 4 -27 -111.86 192.14 206.0 62.61 319.1 282.0 q0a3 
-4 6 34 2882.8 490.15 1882.0 136.37 1321.4 60.8 q3a0 
-4 8 42 98.82 236.03 207.0 82.06 1542.2 576.4 q3a7 
-4 12 -58 -19.14 77.43 85.0 44.96 249.4 1189.9 q0a13 
-3 3 -24 350.0 83.94 204.0 48.0 285.5 316.0 q0a3 
-3 5 -36 -17.37 321.04 383.0 121.62 323.0 1455.4 q0a15 
-2 2 17 1594.73 144.53 1135.0 33.52 1253.2 230.2 q3a2 
-2 4 30 508.18 138.22 271.0 77.69 1256.1 111.5 q3a0 
-2 16 67 126.84 80.38 75.0 39.96 1178.8 608.6 q3a6 
-1 1 12 3892.61 207.86 3200.0 33.35 1222.4 285.8 q3a2 
-1 5 -41 -200.3 289.69 318.0 104.56 380.6 1393.6 q0a15 
-1 9 -55 577.09 136.42 266.0 48.61 359.2 1235.3 q0a13 
-1 15 66 -64.11 84.22 84.0 43.51 1198.1 646.0 q3a6 
0 2 -28 7.1 119.45 177.0 70.14 405.4 139.5 q1a0 
0 4 35 -278.92 387.47 443.0 112.55 1195.4 54.6 q3a0 
0 6 43 -478.04 337.91 296.0 90.04 1535.5 705.0 q3a7 
0 14 65 -24.88 93.14 111.0 40.88 1217.0 682.9 q3a6 
1 3 -36 -94.9 183.21 203.0 98.14 428.9 45.1 q1a0 
1 9 54 -182.59 130.36 157.0 61.79 1387.1 729.5 q3a7 
1 13 64 -59.93 86.58 75.0 42.33 1235.8 719.3 q3a6 
2 2 -33 107.58 205.34 279.0 87.25 462.7 79.6 q1a0 
2 2 29 285.31 264.29 288.0 68.01 1119.8 351.9 q2a3 
2 6 46 783.56 340.9 558.0 87.32 1152.7 1326.6 q2a15 
3 -1 -9 79.14 77.11 82.0 28.81 507.3 317.4 q1a2 
3 -1 -8 243.0 87.67 93.0 31.0 507.6 328.2 q1a2 
3 -1 4 34.5 80.29 65.0 37.5 845.7 322.3 q2a2 
3 -1 5 5207.88 242.47 2796.0 34.98 856.4 322.0 q2a2 
3 1 -29 3043.09 194.56 1753.0 76.67 496.4 124.7 q1a0 
3 7 -54 168.87 121.52 142.0 57.33 614.7 655.5 q1a7 
3 9 56 160.85 135.36 180.0 48.59 1125.4 1214.4 q2a13 
3 11 -65 -56.46 80.5 79.0 43.66 452.2 670.7 q1a6 
4 2 -36 1287.19 301.75 456.0 107.96 521.8 40.9 q1a0 
4 4 -45 -33.47 128.61 122.0 72.4 734.5 613.8 q1a7 
4 4 41 73.94 209.5 292.0 96.63 1087.8 1391.5 q2a15 
4 6 -52 18.49 76.95 98.0 58.05 641.3 620.5 q1a7 
4 8 -58 -60.38 119.67 116.0 49.99 558.6 627.2 q1a6 
4 12 -68 83.7 82.45 116.0 43.7 399.7 641.0 q1a6 
5 -1 -17 1543.25 174.19 1030.0 34.75 564.0 228.5 q1a2 
5 -1 13 1122.11 178.11 445.0 41.14 942.1 261.2 q2a2 
5 3 38 -670.35 225.1 207.0 102.68 1056.1 1428.9 q2a15 
5 7 52 -173.64 190.29 248.0 52.3 1058.2 1271.8 q2a13 
6 4 43 45.01 139.84 159.0 80.35 1024.9 1365.6 q2a15 
7 -1 17 877.21 126.45 829.0 46.02 982.7 200.4 q2a3 
7 5 47 449.65 133.58 456.0 76.68 993.0 1311.9 q2a15 
8 -2 -9 135.5 92.6 75.0 42.5 654.0 312.8 q1a3 
8 -2 -8 336.81 93.0 280.0 43.68 654.3 323.6 q1a3 
8 0 -29 -140.42 170.41 209.0 101.03 646.5 116.2 q1a1 
9 -1 19 -171.97 156.31 202.0 84.18 1004.4 166.9 q2a1 
9 9 -63 -8.31 62.7 70.0 39.31 465.8 489.5 q1a4 
10 -2 -11 1476.05 183.18 706.0 55.2 714.4 288.6 q1a3 
10 -2 -10 164.69 147.17 147.0 53.31 714.7 299.6 q1a3 
10 -2 7 1011.94 126.04 859.0 70.23 874.0 139.8 q2a0 
10 0 -30 809.36 190.63 316.0 97.77 708.5 100.1 q1a1 
10 0 26 281.81 283.05 347.0 114.19 1085.1 133.7 q2a1 
10 4 -48 -75.29 141.45 199.0 52.56 679.4 450.8 q1a5 
10 6 51 240.81 115.09 116.0 45.49 896.7 1279.6 q2a12 
11 -1 19 -393.92 346.74 427.0 112.47 1004.7 104.8 q2a1 
12 -2 5 1023.58 147.23 735.0 83.97 850.9 78.4 q2a0 
12 -2 6 1780.69 196.38 1016.0 82.82 862.0 78.1 q2a0 
12 2 36 -79.04 159.24 194.0 72.12 837.1 1447.3 q2a14 
12 4 44 88.55 110.42 107.0 59.52 833.2 1343.6 q2a14 
13 3 40 90.14 113.12 118.0 63.94 802.0 1394.4 q2a14 
14 0 -28 283.62 117.99 218.0 65.03 496.7 1430.0 q1a14 
14 4 -47 -159.82 170.17 133.0 39.14 752.5 846.0 q1a9 
15 -1 -18 -87.07 138.66 171.0 78.84 608.7 1396.3 q1a15 
15 5 46 118.58 78.36 72.0 35.89 1018.7 758.4 q2a9 
15 7 -56 81.76 62.88 58.0 32.64 714.8 955.3 q1a11 
16 0 -25 -149.1 121.88 148.0 67.61 526.8 1363.2 q1a14 
16 0 21 73.44 204.72 173.0 59.34 1135.1 510.5 q2a5 
17 -1 -11 32.5 239.6 324.0 72.93 685.7 1328.5 q1a15 
17 -1 7 88.99 145.03 146.0 62.41 1107.9 644.3 q2a7 
17 1 26 -172.87 110.98 111.0 49.32 1098.2 448.5 q2a5 
17 3 -40 34.53 81.35 77.0 36.32 649.1 765.5 q1a9 
17 5 -48 -61.76 70.59 76.0 37.34 645.4 875.8 q1a9 
17 5 44 122.0 69.51 68.0 35.0 1038.4 828.4 q2a9 
18 4 39 -13.15 96.95 84.0 36.62 1103.2 859.7 q2a9 
